"Time [ms]","FluxLinkage(PhaseA) [Wb]","FluxLinkage(PhaseB) [Wb]","FluxLinkage(PhaseC) [Wb]"
0,0.0280551089102074,-0.258312339765405,0.230271746219011
0.25,0.137636538545672,-0.326781262512981,0.119521649705714
0.5,0.236413194202474,-0.260402933526571,0.00343308901655533
0.75,0.311657622519304,-0.150907740207538,-0.108552996387206
1,0.287293985525009,-0.03520010938667,-0.212064977177227
1.25,0.181593394402385,0.0789691365252882,-0.293617013061891
1.5,0.0672052159875451,0.186440595590205,-0.312534524204372
1.75,-0.048682115144147,0.273540061458784,-0.211672697184513
2,-0.159307384068009,0.332558760000991,-0.0991559027027686
2.25,-0.254475878960605,0.242917514117999,0.018637220490898
2.5,-0.325970568711574,0.130757407578357,0.13096836514537
2.75,-0.26967843841675,0.0135032406173436,0.229339763532975
3,-0.161966953047925,-0.101289685715217,0.309604729879939
3.25,-0.0456540886027796,-0.20429121689013,0.296304167959671
3.5,0.0706794626994495,-0.29009849946834,0.192558532901922
3.75,0.177812441271636,-0.320185774277532,0.0777750781192473
4,0.268423540494693,-0.222213156638003,-0.0393996046577657
4.25,0.332982296486727,-0.109552115897012,-0.150097910618384
4.5,0.248483681975394,0.00768449207200367,-0.243302550162582
4.75,0.140985347882703,0.121117031010961,-0.321002680529786
5,0.0241399007197953,0.219038707998756,-0.27616004189094
5.25,-0.0910143596630585,0.302815323320142,-0.171773851506854
5.5,-0.193017401335028,0.3010524145411,-0.056073532005155
5.75,-0.281907228395526,0.201355774871131,0.0599130672208114
6,-0.323096402051497,0.0882459724150332,0.16445927808903
6.25,-0.229707785327583,-0.027003574682865,0.255697364111062
6.5,-0.119087942534245,-0.137929024736337,0.329335141667178
6.75,-0.00334167213671464,-0.236037817529982,0.261891750215196
7,0.105955261381537,-0.310414561158514,0.154704816580756
7.25,0.213673851606152,-0.289204125779344,0.0380015256759225
7.5,0.29239746767891,-0.180412686457383,-0.0748482312178485
7.75000000000001,0.316298409459281,-0.0669332288123201,-0.189406868060195
8.00000000000001,0.210520242607659,0.0549883498841037,-0.267437632235426
8.25000000000001,0.0982026008122888,0.161262992877864,-0.322846417538861
8.50000000000001,-0.0159568476110476,0.259024470177924,-0.233370114860341
8.75000000000001,-0.123411582524007,0.325889209727861,-0.124605291834017
9.00000000000001,-0.232743894230102,0.27554926044654,-0.0106005546340544
9.25000000000001,-0.313470108233912,0.163185515500366,0.115761875493719
9.50000000000001,-0.305522033758449,0.0516209320379519,0.21397693941948
9.75000000000001,-0.190884822538432,-0.069754580985503,0.272538552167288
10,-0.0787903546750693,-0.177470358576764,0.311996953369854
10.25,0.0492722476370521,-0.269585216407933,0.203932530834634
10.5,0.135291323140668,-0.324489143575541,0.0912398658942094
10.75,0.252733048959255,-0.24595344775909,-0.0343252428725534
11,0.344675338981388,-0.130957395777111,-0.120596200158522
11.25,0.272951269821389,-0.019043596909266,-0.212592675120076
11.5,0.174106997760231,0.0864137715083061,-0.294295266168693
11.75,0.0518319081011851,0.192544645860082,-0.296119247811649
12,-0.0613449244841994,0.281849961512867,-0.201833179814922
12.25,-0.166310993825698,0.323386491773202,-0.0845339439733398
12.5,-0.26391917525706,0.232576776343106,0.031021482510005
12.75,-0.327598756492564,0.120193261008336,0.136440791038179
13,-0.259492290435188,0.00722066304379923,0.238836587456655
13.25,-0.15718954051992,-0.10793633154342,0.326096312943235
13.5,-0.0319960045919071,-0.214063603527318,0.286521371880632
13.75,0.0800742630476086,-0.291769739965043,0.180859111294756
14,0.185595597547868,-0.312653723575985,0.0670402970615114
14.25,0.273550593484664,-0.211675352948896,-0.0487403646771216
14.5,0.332798820655932,-0.0992801931282982,-0.159350741226748
14.75,0.242949108633435,0.018625154002267,-0.254416026126178
15,0.130741550863893,0.130995205420051,-0.325828896110583
